sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
248,172,06,419.19,310.08,343.83,1.92
246,192,06,1095.46,923.55,889.11,1.84
237,282,06,2590.68,1329.35,2284.22,1.71
383,204,04,1887.77,818.04,1737.28,1.49
166,345,05,1198.83,555.8,1091.5,1.52
178,225,05,781.86,650.45,596.02,2.2
372,66,05,887.4,590.14,745.33,1.79
176,245,05,1210.81,591.55,1077.41,1.62
229,362,06,103.3,170.61,81.01,1.71
371,324,04,2057.43,629.96,1959.34,1.37
70,212,06,1251.68,1036.29,993.48,1.9
259,329,05,2622.33,1520.59,2315.62,1.6
262,299,05,591.11,295.41,547.59,1.42
329,161,04,1445.54,954.68,1258.75,1.62
308,371,04,1460.42,718.07,1330.93,1.5
316,291,04,2300.38,1073.21,2061.99,1.61
128,336,04,1169.86,1370.05,926.05,1.74
169,379,06,2263.19,1581.41,1975.22,1.6
204,114,04,491.51,275.11,446.86,1.48
172,233,05,1909.29,895.96,1706.52,1.61
362,102,06,2277.05,1110.74,2048.25,1.57
351,212,06,794.0,588.76,671.68,1.7
59,285,04,2054.53,837.17,1814.29,1.87
48,62,04,1099.44,309.62,1069.56,1.24
329,40,06,1835.82,665.06,1740.29,1.37
324,90,06,1069.5,503.17,973.81,1.52
212,142,05,2444.6,2240.09,1756.84,2.16
202,242,05,993.96,660.14,809.31,2.13
194,48,04,2082.76,1357.01,1827.08,1.59
192,68,04,1022.96,653.9,907.68,1.58
210,64,05,1532.64,858.32,1316.42,1.76
385,93,06,1879.73,1047.58,1633.26,1.7
51,113,06,2827.9,720.52,2737.39,1.29
32,303,06,278.17,69.11,270.17,1.27
329,86,06,1809.7,944.02,1627.65,1.56
151,24,04,2579.69,1169.87,2335.66,1.56
175,397,06,2255.82,717.87,2141.62,1.39
341,107,05,2079.19,1058.39,1840.09,1.64
112,372,04,1424.2,601.3,1322.61,1.45
130,192,04,1300.52,595.97,1181.42,1.55
245,108,05,1871.18,1025.91,1646.73,1.62
243,128,05,1486.04,958.26,1343.05,1.48
240,158,05,973.33,462.85,888.24,1.51
110,392,04,1311.59,818.19,1156.59,1.58
266,96,04,1713.92,785.31,1579.65,1.48
37,399,04,957.53,608.54,831.15,1.64
138,112,04,1628.7,1495.45,1276.71,1.86
242,68,05,1464.7,1014.84,1171.99,1.94
241,78,05,567.26,469.07,425.72,2.29
16,237,06,2142.72,563.95,2077.54,1.27
243,58,05,1064.65,727.43,956.86,1.5
26,137,06,1689.48,522.15,1619.38,1.33
139,102,04,1606.24,774.4,1450.46,1.56
244,48,05,589.98,541.03,480.87,1.76
16,385,04,2233.97,1297.28,1973.93,1.61
